name	taxid
Alistipes putredinis	28117
Alistipes senegalensis	1033732
Alistipes shahii	328814
Alistipes timonensis	1033731
Alkalibacillus almallahensis	1379154
Alkalibacillus filiformis	200990
Alkalibacillus haloalkaliphilus	94136
Alkalibacillus halophilus	368977
Alkalibacillus salilacus	284582
Alkalibacillus silvisoli	392823
Alkalibacter saccharofermentans	235931
Alkalibacterium gilvum	1130080
Alkalibacterium iburiense	290589
Alkalibacterium indicireducens	398758
Alkalibacterium kapii	426704
Alkalibacterium olivapovliticus	99907
Alkalibacterium pelagium	426702
Alkalibacterium psychrotolerans	254784
Alkalibacterium putridalgicola	426703
Alkalibacterium subtropicum	753702
Alkalibacterium thalassium	426701
Alkalibaculum bacchi	645887
Alkalicoccus halolimnae	1667239
Alkalicoccus saliphilus	200989
Alkaliflexus imshenetskii	286730
Alkaliflexus imshenetskii	927658
Alkalilactibacillus ikkensis	486507
Alkalilimnicola ehrlichii	351052
Alkalilimnicola halodurans	133194
Alkalimarinus sediminis	1632866
Alkalimonas amylolytica	152573
Alkalimonas collagenimarina	400390
Alkalimonas delamerensis	265981
Alkaliphilus crotonatoxidans	185693
Alkaliphilus halophilus	522397
Alkaliphilus hydrothermalis	1482730
Alkaliphilus metalliredigens	208226
Alkaliphilus namsaraevii	1454184
Alkaliphilus oremlandii	461876
Alkaliphilus peptidifermentans	426129
Alkaliphilus transvaalensis	114628
Alkalispirillum mobile	85925
Alkalitalea saponilacus	889453
Alkanibacter difficilis	159478
Alkanindiges hongkongensis	208968
Alkanindiges illinoisensis	197183
Allisonella histaminiformans	209880
Alloactinosynnema album	504798
Alloactinosynnema iranicum	1271860
Allobacillus halotolerans	570278
Allobaculum stercoricanis	174709
Allobranchiibius huperziae	1874116
Allocatelliglobosispora scoriae	643052
Allochromatium humboldtianum	504901
Allochromatium minutissimum	61596
Allochromatium palmeri	231048
Allochromatium phaeobacterium	430676
Allochromatium renukae	402883
Allochromatium truperi	480970
Allochromatium vinosum	1049
Allochromatium warmingii	61595
Allofrancisella frigidaquae	1085644
Allofrancisella guangzhouensis	594679
Allofrancisella inopinata	1085647
